question_id,current_canonical_chapter,current_level,reason,source_ref,stored_source_identity,near_match_leaf_code,candidate_count,candidate_leaf_codes,stem_excerpt,selected_leaf
8814,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.1,4.1 异构网络互连,4.1,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,下列关于“异构网络互连”的说法中，正确的是（ ）,
8815,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.1,4.1 异构网络互连,4.1,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,在网络层相关问题中，“异构网络互连”主要用于（ ）,
8816,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.1,4.1 异构网络互连,4.1,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,分析“异构网络互连”时，最应关注的是（ ）,
8817,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.1,4.1 异构网络互连,4.1,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,关于“异构网络互连”的常见理解，下列正确的是（ ）,
8818,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.1,4.1 异构网络互连,4.1,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,综合应用题：若题目场景涉及“异构网络互连”，解题时最合理的判断是（ ）,
8819,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.2,4.2 路由与转发,4.2,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,下列关于“路由与转发”的说法中，正确的是（ ）,
8820,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.2,4.2 路由与转发,4.2,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,在网络层相关问题中，“路由与转发”主要用于（ ）,
8821,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.2,4.2 路由与转发,4.2,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,分析“路由与转发”时，最应关注的是（ ）,
8822,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.2,4.2 路由与转发,4.2,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,关于“路由与转发”的常见理解，下列正确的是（ ）,
8823,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.2,4.2 路由与转发,4.2,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,综合应用题：若题目场景涉及“路由与转发”，解题时最合理的判断是（ ）,
8824,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.3,4.3 虚电路服务,4.3,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,下列关于“虚电路服务”的说法中，正确的是（ ）,
8825,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.3,4.3 虚电路服务,4.3,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,在网络层相关问题中，“虚电路服务”主要用于（ ）,
8826,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.3,4.3 虚电路服务,4.3,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,分析“虚电路服务”时，最应关注的是（ ）,
8827,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.3,4.3 虚电路服务,4.3,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,关于“虚电路服务”的常见理解，下列正确的是（ ）,
8828,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.3,4.3 虚电路服务,4.3,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,综合应用题：若题目场景涉及“虚电路服务”，解题时最合理的判断是（ ）,
8829,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.4,4.4 数据报服务,4.4,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,下列关于“数据报服务”的说法中，正确的是（ ）,
8830,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.4,4.4 数据报服务,4.4,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,在网络层相关问题中，“数据报服务”主要用于（ ）,
8831,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.4,4.4 数据报服务,4.4,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,分析“数据报服务”时，最应关注的是（ ）,
8832,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.4,4.4 数据报服务,4.4,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,关于“数据报服务”的常见理解，下列正确的是（ ）,
8833,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.4,4.4 数据报服务,4.4,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,综合应用题：若题目场景涉及“数据报服务”，解题时最合理的判断是（ ）,
8834,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.5,4.5 SDN 的基本概念,4.5,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,下列关于“SDN 的基本概念”的说法中，正确的是（ ）,
8835,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.5,4.5 SDN 的基本概念,4.5,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,在网络层相关问题中，“SDN 的基本概念”主要用于（ ）,
8836,4,chapter,STORED_ID_DOES_NOT_EQUAL_ANY_CANONICAL_LEAF_CODE,chapter:4:4.5,4.5 SDN 的基本概念,4.5,7,4.1|4.2|4.3|4.4|4.5|4.6|4.7,分析“SDN 的基本概念”时，最应关注的是（ ）,
